locus	erv.assigned	CLADE	locus_name
RETROSEQ_chr1:781211-781633	HERVHcons	Gamma-like	ERV-GE.cPaHcons.7-CamPar
RETROSEQ_chr1:808845-809000	cPa260	Beta-like2	ERV-AB2.cPa260.25-CamPar
RETROSEQ_chr1:809974-810074	cPa228	Beta-like2	ERV-AB2.cPa228.9-CamPar
RETROSEQ_chr1:810098-810374	cPa228	Beta-like2	ERV-AB2.cPa228.10-CamPar
RETROSEQ_chr1:810459-810559	cPa228	Beta-like2	ERV-AB2.cPa228.11-CamPar
RETROSEQ_chr1:811654-811794	cPa228	Beta-like2	ERV-AB2.cPa228.12-CamPar
RETROSEQ_chr1:814693-814793	cPa140	SnRV-like	ERV-S.cPa140.1-CamPar
RETROSEQ_chr1:818640-818783	cPa450	Gamma-like	ERV-GE.cPa450.4-CamPar
RETROSEQ_chr1:818877-819146	cPa450	Gamma-like	ERV-GE.cPa450.5-CamPar
RETROSEQ_chr1:849543-849643	cPa228	Beta-like2	ERV-AB2.cPa228.13-CamPar
RETROSEQ_chr1:866215-866315	HERVHcons	Gamma-like	ERV-GE.cPaHcons.8-CamPar
RETROSEQ_chr1:871160-871260	HERVHcons	Gamma-like	ERV-GE.cPaHcons.9-CamPar
RETROSEQ_chr1:872158-872258	cPa228	Beta-like2	ERV-AB2.cPa228.14-CamPar
RETROSEQ_chr1:894529-894629	cPa333	Beta-like1	ERV-AB1.cPa333.1-CamPar
RETROSEQ_chr1:974403-974546	cPa260	Beta-like2	ERV-AB2.cPa260.26-CamPar
RETROSEQ_chr1:991187-991315	cPa228	Beta-like2	ERV-AB2.cPa228.15-CamPar
RETROSEQ_chr1:991395-991495	cPa228	Beta-like2	ERV-AB2.cPa228.16-CamPar
RETROSEQ_chr1:997814-998035	cPa228	Beta-like2	ERV-AB2.cPa228.17-CamPar
RETROSEQ_chr1:1007442-1007628	cPa201	Gamma-like	ERV-GE.cPa201.1-CamPar
RETROSEQ_chr1:1011282-1011382	cPa140	SnRV-like	ERV-S.cPa140.2-CamPar
RETROSEQ_chr1:1021278-1021378	cPa163	Alpha-like	ERV-AB.cPa163.1-CamPar
RETROSEQ_chr1:1028053-1028236	cPa424	Beta-like2	ERV-AB2.cPa424.1-CamPar
RETROSEQ_chr1:1028982-1029156	WDSV_NC001867	Epsilon	ERV-WDSV.1-CamPar
RETROSEQ_chr1:1087399-1087499	SIV_NC001549	Lenti	ERV-SIV.1-CamPar
RETROSEQ_chr1:1088174-1088274	cPa260	Beta-like2	ERV-AB2.cPa260.27-CamPar
RETROSEQ_chr1:1093919-1094064	cPa260	Beta-like2	ERV-AB2.cPa260.28-CamPar
RETROSEQ_chr1:1102575-1102815	cPa194	Beta-like1	ERV-AB1.cPa194.2-CamPar
RETROSEQ_chr1:1102868-1103115	cPa194	Beta-like1	ERV-AB1.cPa194.3-CamPar
RETROSEQ_chr1:1103159-1103314	cPa194	Beta-like1	ERV-AB1.cPa194.4-CamPar
RETROSEQ_chr1:1103360-1103460	cPa194	Beta-like1	ERV-AB1.cPa194.5-CamPar
RETROSEQ_chr1:1114298-1114419	cPa308	Beta-like2	ERV-AB2.cPa308.7-CamPar
RETROSEQ_chr1:1118307-1118407	cPa360	Alpha-like	ERV-AB.cPa360.1-CamPar
RETROSEQ_chr1:1124803-1124903	cPa260	Beta-like2	ERV-AB2.cPa260.29-CamPar
RETROSEQ_chr1:1124943-1125043	cPa308	Beta-like2	ERV-AB2.cPa308.8-CamPar
RETROSEQ_chr1:1126270-1126370	cPa199	Beta-like2	ERV-AB2.cPa199.1-CamPar
RETROSEQ_chr1:1126424-1126568	cPa199	Beta-like2	ERV-AB2.cPa199.2-CamPar
RETROSEQ_chr1:1135383-1135496	cPa228	Beta-like2	ERV-AB2.cPa228.18-CamPar
RETROSEQ_chr1:1137940-1138040	cPa260	Beta-like2	ERV-AB2.cPa260.30-CamPar
RETROSEQ_chr1:1151384-1151484	cPa443	SnRV-like	ERV-S.cPa443.1-CamPar
RETROSEQ_chr1:1164554-1164723	cPa400	Beta-like1	ERV-AB1.cPa400.1-CamPar
RETROSEQ_chr1:1164808-1164908	FrMuLV_NC001362	Gamma	ERV-FrMuLV.3-CamPar
RETROSEQ_chr1:1181685-1181785	cPa450	Gamma-like	ERV-GE.cPa450.6-CamPar
RETROSEQ_chr1:1181825-1181925	cPa260	Beta-like2	ERV-AB2.cPa260.31-CamPar
RETROSEQ_chr1:1198022-1198122	cPa452	Beta-like1	ERV-AB1.cPa452.3-CamPar
RETROSEQ_chr1:1200244-1200579	cPa260	Beta-like2	ERV-AB2.cPa260.32-CamPar
RETROSEQ_chr1:1201094-1201194	cPa452	Beta-like1	ERV-AB1.cPa452.4-CamPar
DELLY_chr1:1208633-1214650	cPa61	Gamma-like	ERV-GE.cPa61.1-CamPar
RETROSEQ_chr1:1212734-1212834	cPa443	SnRV-like	ERV-S.cPa443.2-CamPar
RETROSEQ_chr1:1214902-1215002	HERVHcons	Gamma-like	ERV-GE.cPaHcons.10-CamPar
RETROSEQ_chr1:1229120-1229220	HIV1_NC001802	Lenti	ERV-HIV1.2-CamPar
RETROSEQ_chr1:1232251-1232351	cPa308	Beta-like2	ERV-AB2.cPa308.9-CamPar
RETROSEQ_chr1:1250566-1250666	cPa260	Beta-like2	ERV-AB2.cPa260.33-CamPar
RETROSEQ_chr1:1250841-1250941	cPa228	Beta-like2	ERV-AB2.cPa228.19-CamPar
RETROSEQ_chr1:1279707-1279807	cPa194	Beta-like1	ERV-AB1.cPa194.6-CamPar
RETROSEQ_chr1:1279825-1279939	cPa194	Beta-like1	ERV-AB1.cPa194.7-CamPar
RETROSEQ_chr1:1279953-1280053	cPa194	Beta-like1	ERV-AB1.cPa194.8-CamPar
RETROSEQ_chr1:1280066-1280166	cPa194	Beta-like1	ERV-AB1.cPa194.9-CamPar
RETROSEQ_chr1:1288349-1288554	cPa260	Beta-like2	ERV-AB2.cPa260.34-CamPar
RETROSEQ_chr1:1302597-1302828	cPa260	Beta-like2	ERV-AB2.cPa260.35-CamPar
RETROSEQ_chr1:1302849-1302949	cPa228	Beta-like2	ERV-AB2.cPa228.20-CamPar
RETROSEQ_chr1:1310451-1310551	cPa109	Gamma-like	ERV-GE.cPa109.1-CamPar
RETROSEQ_chr1:1311101-1311201	HERVHcons	Gamma-like	ERV-GE.cPaHcons.11-CamPar
RETROSEQ_chr1:1312158-1312258	cPa199	Beta-like2	ERV-AB2.cPa199.3-CamPar
RETROSEQ_chr1:1313887-1314082	cPa260	Beta-like2	ERV-AB2.cPa260.36-CamPar
RETROSEQ_chr1:1333437-1333538	cPa248	SnRV-like	ERV-S.cPa248.1-CamPar
RETROSEQ_chr1:1336569-1337010	cPa260	Beta-like2	ERV-AB2.cPa260.37-CamPar
RETROSEQ_chr1:1340637-1340737	cPa200	Beta-like1	ERV-AB1.cPa200.1-CamPar
RETROSEQ_chr1:1340856-1340956	cPa583	Gamma-like	ERV-GE.cPa583.1-CamPar
RETROSEQ_chr1:1342860-1342960	cPa333	Beta-like1	ERV-AB1.cPa333.2-CamPar
RETROSEQ_chr1:1343354-1343677	cPa260	Beta-like2	ERV-AB2.cPa260.38-CamPar
RETROSEQ_chr1:1372804-1372904	cPa443	SnRV-like	ERV-S.cPa443.3-CamPar
RETROSEQ_chr1:1379133-1379263	HERVHcons	Gamma-like	ERV-GE.cPaHcons.12-CamPar
RETROSEQ_chr1:1383330-1383518	cPa308	Beta-like2	ERV-AB2.cPa308.10-CamPar
RETROSEQ_chr1:1386779-1386879	cPa140	SnRV-like	ERV-S.cPa140.3-CamPar
RETROSEQ_chr1:1386913-1387013	cPa248	SnRV-like	ERV-S.cPa248.2-CamPar
RETROSEQ_chr1:1388324-1388424	cPa228	Beta-like2	ERV-AB2.cPa228.21-CamPar
RETROSEQ_chr1:1388515-1388693	cPa260	Beta-like2	ERV-AB2.cPa260.39-CamPar
RETROSEQ_chr1:1391884-1392007	HERVHcons	Gamma-like	ERV-GE.cPaHcons.13-CamPar
RETROSEQ_chr1:1395040-1395140	FrMuLV_NC001362	Gamma	ERV-FrMuLV.4-CamPar
RETROSEQ_chr1:1400378-1400917	cPa260	Beta-like2	ERV-AB2.cPa260.40-CamPar
RETROSEQ_chr1:1406835-1407269	cPa260	Beta-like2	ERV-AB2.cPa260.41-CamPar
RETROSEQ_chr1:1419099-1419199	cPa248	SnRV-like	ERV-S.cPa248.3-CamPar
RETROSEQ_chr1:1422046-1422146	cPa228	Beta-like2	ERV-AB2.cPa228.22-CamPar
RETROSEQ_chr1:1422181-1422327	cPa260	Beta-like2	ERV-AB2.cPa260.42-CamPar
RETROSEQ_chr1:1425139-1425239	cPa228	Beta-like2	ERV-AB2.cPa228.23-CamPar
RETROSEQ_chr1:1429054-1429463	cPa260	Beta-like2	ERV-AB2.cPa260.43-CamPar
RETROSEQ_chr1:1438971-1439107	cPa260	Beta-like2	ERV-AB2.cPa260.44-CamPar
RETROSEQ_chr1:1442356-1442456	cPa260	Beta-like2	ERV-AB2.cPa260.45-CamPar
RETROSEQ_chr1:1442497-1442977	cPa260	Beta-like2	ERV-AB2.cPa260.46-CamPar
RETROSEQ_chr1:1444501-1444601	cPa363	Beta-like1	ERV-AB1.cPa363.2-CamPar
RETROSEQ_chr1:1448440-1448540	ALVJ_Z46390	Alpha	ERV-ALVJ.1-CamPar
RETROSEQ_chr1:1451820-1451990	cPa447	Gamma-like	ERV-GE.cPa447.1-CamPar
RETROSEQ_chr1:1457539-1457699	cPa199	Beta-like2	ERV-AB2.cPa199.4-CamPar
RETROSEQ_chr1:1457706-1457916	cPa199	Beta-like2	ERV-AB2.cPa199.5-CamPar
RETROSEQ_chr1:1463899-1464055	cPa228	Beta-like2	ERV-AB2.cPa228.24-CamPar
RETROSEQ_chr1:1478675-1478775	cPa260	Beta-like2	ERV-AB2.cPa260.47-CamPar
RETROSEQ_chr1:1478806-1479041	cPa260	Beta-like2	ERV-AB2.cPa260.48-CamPar
RETROSEQ_chr1:1483443-1483550	cPa308	Beta-like2	ERV-AB2.cPa308.11-CamPar
RETROSEQ_chr1:1499998-1500098	cPa140	SnRV-like	ERV-S.cPa140.4-CamPar
RETROSEQ_chr1:1513310-1513562	cPa228	Beta-like2	ERV-AB2.cPa228.25-CamPar
RETROSEQ_chr1:1529455-1529568	cPa228	Beta-like2	ERV-AB2.cPa228.26-CamPar
RETROSEQ_chr1:1535379-1535479	HIV1_NC001802	Lenti	ERV-HIV1.3-CamPar
RETROSEQ_chr1:1537112-1537212	cPa15	SnRV-like	ERV-S.cPa15.2-CamPar
RETROSEQ_chr1:1538131-1538320	cPa260	Beta-like2	ERV-AB2.cPa260.49-CamPar
RETROSEQ_chr1:1571657-1571779	cPa357	Gamma-like	ERV-GE.cPa357.1-CamPar
RETROSEQ_chr1:1575315-1575415	cPa140	SnRV-like	ERV-S.cPa140.5-CamPar
RETROSEQ_chr1:1585571-1585750	cPa260	Beta-like2	ERV-AB2.cPa260.50-CamPar
RETROSEQ_chr1:1588107-1588207	cPa452	Beta-like1	ERV-AB1.cPa452.5-CamPar
RETROSEQ_chr1:1607991-1608091	cPa260	Beta-like2	ERV-AB2.cPa260.51-CamPar
RETROSEQ_chr1:1615002-1615102	STLV2_NC001815	Delta	ERV-STLV2.1-CamPar
RETROSEQ_chr1:1615201-1615301	cPa140	SnRV-like	ERV-S.cPa140.6-CamPar
RETROSEQ_chr1:1629621-1629747	cPa228	Beta-like2	ERV-AB2.cPa228.27-CamPar
RETROSEQ_chr1:1629806-1629920	cPa228	Beta-like2	ERV-AB2.cPa228.28-CamPar
RETROSEQ_chr1:1633268-1633368	cPa183	Beta-like1	ERV-AB1.cPa183.4-CamPar
RETROSEQ_chr1:1648731-1648831	cPa472	Beta-like1	ERV-AB1.cPa472.1-CamPar
RETROSEQ_chr1:1661447-1661547	cPa228	Beta-like2	ERV-AB2.cPa228.29-CamPar
RETROSEQ_chr1:1666432-1666556	cPa15	SnRV-like	ERV-S.cPa15.3-CamPar
RETROSEQ_chr1:1682985-1683103	cPa140	SnRV-like	ERV-S.cPa140.7-CamPar
RETROSEQ_chr1:1702021-1702141	HERVHcons	Gamma-like	ERV-GE.cPaHcons.14-CamPar
RETROSEQ_chr1:1712796-1713303	cPa260	Beta-like2	ERV-AB2.cPa260.52-CamPar
RETROSEQ_chr1:1714397-1714497	cPa443	SnRV-like	ERV-S.cPa443.4-CamPar
RETROSEQ_chr1:1716825-1716925	cPa502	Beta-like2	ERV-AB2.cPa502.1-CamPar
RETROSEQ_chr1:1737907-1738007	cPa443	SnRV-like	ERV-S.cPa443.5-CamPar
RETROSEQ_chr1:1738014-1738159	cPa443	SnRV-like	ERV-S.cPa443.6-CamPar
RETROSEQ_chr1:1739981-1740221	cPa443	SnRV-like	ERV-S.cPa443.7-CamPar
RETROSEQ_chr1:1751945-1752048	HIV1_NC001802	Lenti	ERV-HIV1.4-CamPar
RETROSEQ_chr1:1758414-1758595	cPa302	Beta-like1	ERV-AB1.cPa302.1-CamPar
RETROSEQ_chr1:1768014-1768123	cPa248	SnRV-like	ERV-S.cPa248.4-CamPar
RETROSEQ_chr1:1779426-1779560	cPa443	SnRV-like	ERV-S.cPa443.8-CamPar
RETROSEQ_chr1:1779591-1779725	cPa443	SnRV-like	ERV-S.cPa443.9-CamPar
RETROSEQ_chr1:1790836-1791167	cPa260	Beta-like2	ERV-AB2.cPa260.53-CamPar
RETROSEQ_chr1:1793519-1793619	cPa199	Beta-like2	ERV-AB2.cPa199.6-CamPar
RETROSEQ_chr1:1823221-1823321	cPa260	Beta-like2	ERV-AB2.cPa260.54-CamPar
RETROSEQ_chr1:1824544-1824884	cPa260	Beta-like2	ERV-AB2.cPa260.55-CamPar
RETROSEQ_chr1:1827030-1827130	cPa260	Beta-like2	ERV-AB2.cPa260.56-CamPar
RETROSEQ_chr1:1827136-1827236	cPa260	Beta-like2	ERV-AB2.cPa260.57-CamPar
RETROSEQ_chr1:1827257-1827423	cPa260	Beta-like2	ERV-AB2.cPa260.58-CamPar
RETROSEQ_chr1:1854991-1855259	cPa228	Beta-like2	ERV-AB2.cPa228.30-CamPar
RETROSEQ_chr1:1855290-1855430	cPa228	Beta-like2	ERV-AB2.cPa228.31-CamPar
RETROSEQ_chr1:1870965-1871070	cPa583	Gamma-like	ERV-GE.cPa583.2-CamPar
RETROSEQ_chr1:1881006-1881176	cPa200	Beta-like1	ERV-AB1.cPa200.2-CamPar
RETROSEQ_chr1:1888024-1888124	VISNA_S55323	Lenti	ERV-VISNA.1-CamPar
RETROSEQ_chr1:1922580-1922680	HERVHcons	Gamma-like	ERV-GE.cPaHcons.15-CamPar
RETROSEQ_chr1:1973789-1973889	HML6_repbase_HERVK3I_LTR3	Beta-like	ERV-K(HML6).1-CamPar
RETROSEQ_chr1:1991592-1991709	HERVHcons	Gamma-like	ERV-GE.cPaHcons.16-CamPar
RETROSEQ_chr1:2010713-2010813	HERVHcons	Gamma-like	ERV-GE.cPaHcons.17-CamPar
RETROSEQ_chr1:2011211-2011447	PERV_AJ293656	Gamma	ERV-PERV.1-CamPar
RETROSEQ_chr1:2012600-2012700	HERVHcons	Gamma-like	ERV-GE.cPaHcons.18-CamPar
RETROSEQ_chr1:2033247-2033347	cPa200	Beta-like1	ERV-AB1.cPa200.3-CamPar
RETROSEQ_chr1:2036719-2036959	cPa50	Beta-like1	ERV-AB1.cPa50.1-CamPar
RETROSEQ_chr1:2072693-2072846	cPa199	Beta-like2	ERV-AB2.cPa199.7-CamPar
RETROSEQ_chr1:2095727-2095827	cPa357	Gamma-like	ERV-GE.cPa357.2-CamPar
RETROSEQ_chr1:2109516-2109661	cPa200	Beta-like1	ERV-AB1.cPa200.4-CamPar
RETROSEQ_chr1:2109666-2109766	cPa200	Beta-like1	ERV-AB1.cPa200.5-CamPar
RETROSEQ_chr1:2117301-2117401	cPa260	Beta-like2	ERV-AB2.cPa260.59-CamPar
RETROSEQ_chr1:2117462-2117566	cPa228	Beta-like2	ERV-AB2.cPa228.32-CamPar
RETROSEQ_chr1:2121342-2121442	HERVHcons	Gamma-like	ERV-GE.cPaHcons.19-CamPar
RETROSEQ_chr1:2121451-2121555	HERVHcons	Gamma-like	ERV-GE.cPaHcons.20-CamPar
RETROSEQ_chr1:2122249-2122349	PERVC_HM159246	Gamma	ERV-PERVC.2-CamPar
RETROSEQ_chr1:2132307-2132628	cPa140	SnRV-like	ERV-S.cPa140.8-CamPar
RETROSEQ_chr1:2151591-2151693	cPa228	Beta-like2	ERV-AB2.cPa228.33-CamPar
RETROSEQ_chr1:2181994-2182178	cPa200	Beta-like1	ERV-AB1.cPa200.6-CamPar
RETROSEQ_chr1:2182231-2182367	cPa200	Beta-like1	ERV-AB1.cPa200.7-CamPar
RETROSEQ_chr1:2218642-2218994	cPa290	Beta-like1	ERV-AB1.cPa290.2-CamPar
RETROSEQ_chr1:2221897-2221997	cPa327	Beta-like2	ERV-AB2.cPa327.3-CamPar
RETROSEQ_chr1:2250775-2250875	cPa542	Beta-like1	ERV-AB1.cPa542.1-CamPar
RETROSEQ_chr1:2262971-2263071	cPa228	Beta-like2	ERV-AB2.cPa228.34-CamPar
RETROSEQ_chr1:2263109-2263293	cPa228	Beta-like2	ERV-AB2.cPa228.35-CamPar
RETROSEQ_chr1:2273174-2273274	HERV-I_repbase_HERVI_LTR10B	Gamma-like	ERV-HERVI.1-CamPar
RETROSEQ_chr1:2273338-2273524	cPa486	Beta-like1	ERV-AB1.cPa486.1-CamPar
RETROSEQ_chr1:2274075-2274341	cPa486	Beta-like1	ERV-AB1.cPa486.2-CamPar
RETROSEQ_chr1:2277179-2277279	cPa543	Beta-like1	ERV-AB1.cPa543.1-CamPar
RETROSEQ_chr1:2277346-2277537	cPa176	Beta-like1	ERV-AB1.cPa176.1-CamPar
RETROSEQ_chr1:2277575-2277675	cPa199	Beta-like2	ERV-AB2.cPa199.8-CamPar
RETROSEQ_chr1:2282184-2282284	cPa552	Beta-like1	ERV-AB1.cPa552.1-CamPar
RETROSEQ_chr1:2282338-2282438	cPa552	Beta-like1	ERV-AB1.cPa552.2-CamPar
RETROSEQ_chr1:2298759-2298859	cPa194	Beta-like1	ERV-AB1.cPa194.10-CamPar
RETROSEQ_chr1:2300961-2301279	cPa486	Beta-like1	ERV-AB1.cPa486.3-CamPar
RETROSEQ_chr1:2318364-2318464	cPa228	Beta-like2	ERV-AB2.cPa228.36-CamPar
RETROSEQ_chr1:2360164-2360264	HIV1_NC001802	Lenti	ERV-HIV1.5-CamPar
RETROSEQ_chr1:2362332-2362508	cPa260	Beta-like2	ERV-AB2.cPa260.60-CamPar
RETROSEQ_chr1:2362552-2362652	rRVRV_JQ303225	Gamma	ERV-rRVRV.1-CamPar
RETROSEQ_chr1:2366971-2367071	cPa255	Beta-like1	ERV-AB1.cPa255.1-CamPar
RETROSEQ_chr1:2367108-2367208	cPa200	Beta-like1	ERV-AB1.cPa200.8-CamPar
RETROSEQ_chr1:2379612-2379712	cPa50	Beta-like1	ERV-AB1.cPa50.2-CamPar
RETROSEQ_chr1:2385943-2386244	cPa486	Beta-like1	ERV-AB1.cPa486.4-CamPar
RETROSEQ_chr1:2386263-2386375	cPa353	Beta-like2	ERV-AB2.cPa353.1-CamPar
RETROSEQ_chr1:2386625-2386725	cPa199	Beta-like2	ERV-AB2.cPa199.9-CamPar
RETROSEQ_chr1:2405996-2406179	cPa260	Beta-like2	ERV-AB2.cPa260.61-CamPar
RETROSEQ_chr1:2406186-2406409	cPa260	Beta-like2	ERV-AB2.cPa260.62-CamPar
RETROSEQ_chr1:2409389-2409489	cPa264	SnRV-like	ERV-S.cPa264.1-CamPar
RETROSEQ_chr1:2441596-2441860	cPa199	Beta-like2	ERV-AB2.cPa199.10-CamPar
RETROSEQ_chr1:2449091-2449191	VISNA_S55323	Lenti	ERV-VISNA.2-CamPar
RETROSEQ_chr1:2466034-2466314	cPa443	SnRV-like	ERV-S.cPa443.10-CamPar
RETROSEQ_chr1:2466410-2466510	cPa443	SnRV-like	ERV-S.cPa443.11-CamPar
RETROSEQ_chr1:2473063-2473163	cPa526	Beta-like1	ERV-AB1.cPa526.1-CamPar
RETROSEQ_chr1:2476159-2476263	cPa228	Beta-like2	ERV-AB2.cPa228.37-CamPar
RETROSEQ_chr1:2497166-2497266	cPa452	Beta-like1	ERV-AB1.cPa452.6-CamPar
RETROSEQ_chr1:2502792-2502892	cPa127	Beta-like1	ERV-AB1.cPa127.1-CamPar
RETROSEQ_chr1:2532329-2532547	cPa199	Beta-like2	ERV-AB2.cPa199.11-CamPar
RETROSEQ_chr1:2535734-2535834	cPa363	Beta-like1	ERV-AB1.cPa363.3-CamPar
