locus,erv.assigned
RETROSEQ_chr1:111975157-111975257,cPa391
RETROSEQ_chr1:111983499-111983599,cPa452
RETROSEQ_chr1:112032904-112033004,cPa190
RETROSEQ_chr1:112039810-112040023,cPa443
RETROSEQ_chr1:112055406-112055506,cPa452
RETROSEQ_chr1:112069696-112069796,cPa529
RETROSEQ_chr1:112093797-112093919,cPa391
RETROSEQ_chr1:112109039-112109139,cPa140
RETROSEQ_chr1:112112041-112112141,cPa220
RETROSEQ_chr1:112130237-112130337,cPa540
RETROSEQ_chr1:112144862-112145103,cPa140
RETROSEQ_chr1:112189675-112189843,cPa205
RETROSEQ_chr1:112218468-112218586,cPa248
RETROSEQ_chr1:112230643-112230743,cPa150
RETROSEQ_chr1:112274844-112274944,cPa353|cPa447
RETROSEQ_chr1:112274957-112275057,cPa353|cPa447
RETROSEQ_chr1:112443941-112444041,cPa194
RETROSEQ_chr1:11244670-11244770,cPa452
RETROSEQ_chr1:1124803-1124903,cPa260
RETROSEQ_chr1:1124943-1125043,cPa308
RETROSEQ_chr1:112530759-112530859,cPa15
RETROSEQ_chr1:112538914-112539022,cPa140
RETROSEQ_chr1:112552351-112552548,BaEV_D10032
RETROSEQ_chr1:112553460-112553630,cPa452
RETROSEQ_chr1:112555410-112555510,MLV_Mpmv5
RETROSEQ_chr1:112555637-112555737,MLV_Mpmv5
RETROSEQ_chr1:112564547-112564668,cPa452
RETROSEQ_chr1:112622299-112622413,cPa248
RETROSEQ_chr1:112623620-112623720,cPa248
RETROSEQ_chr1:1126270-1126370,cPa199
RETROSEQ_chr1:112630707-112630807,cPa452
RETROSEQ_chr1:1126424-1126568,cPa199
RETROSEQ_chr1:112694959-112695120,cPa140|cPa15|cPa248
RETROSEQ_chr1:11278620-11278777,cPa486
RETROSEQ_chr1:11285373-11285473,cPa452
RETROSEQ_chr1:112890038-112890138,cPa248
RETROSEQ_chr1:112972663-112972770,cPa391
RETROSEQ_chr1:11304102-11304202,cPa248
RETROSEQ_chr1:113083018-113083118,cPa183|cPa353|cPa500
RETROSEQ_chr1:113083153-113083253,cPa157
RETROSEQ_chr1:113090159-113090273,cPa15
RETROSEQ_chr1:113097772-113097909,cPa572
RETROSEQ_chr1:113115864-113116261,cPa140
RETROSEQ_chr1:113157779-113157879,cPa224
RETROSEQ_chr1:113215371-113215471,cPa363
RETROSEQ_chr1:113238333-113238433,cPa353
RETROSEQ_chr1:113244285-113244385,cPa199
RETROSEQ_chr1:113252158-113252258,cPa391
RETROSEQ_chr1:113263981-113264092,cPa379
RETROSEQ_chr1:113264158-113264258,cPa379
RETROSEQ_chr1:113269783-113269893,HERV_XA34_repbase_HERVFH21I_LTR21A|WDSV_NC001867
RETROSEQ_chr1:11327100-11327200,cPa452
RETROSEQ_chr1:113299764-113299864,cPa308
RETROSEQ_chr1:113411865-113412047,cPa482
RETROSEQ_chr1:11341503-11341603,cPa452
RETROSEQ_chr1:113483538-113483741,cPa248
RETROSEQ_chr1:1135383-1135496,cPa228
RETROSEQ_chr1:113639081-113639270,cPa447
RETROSEQ_chr1:1137940-1138040,cPa260
RETROSEQ_chr1:11465046-11465146,cPa529
RETROSEQ_chr1:11490896-11490996,cPa140
RETROSEQ_chr1:11493755-11493855,cPa443
RETROSEQ_chr1:11494163-11494302,cPa264
RETROSEQ_chr1:11494524-11494690,cPa264
RETROSEQ_chr1:11502418-11502563,cPa363
RETROSEQ_chr1:11505501-11505613,cPa140
RETROSEQ_chr1:11505869-11505969,cPa529
RETROSEQ_chr1:1151384-1151484,cPa443
RETROSEQ_chr1:11523256-11523356,HERVHcons
RETROSEQ_chr1:11523463-11523629,HERVHcons
RETROSEQ_chr1:11548609-11548709,cPa391
RETROSEQ_chr1:11608619-11608914,cPa332
RETROSEQ_chr1:1164554-1164723,cPa400|cPa583
RETROSEQ_chr1:1164808-1164908,FrMuLV_NC001362
RETROSEQ_chr1:11668091-11668260,cPa452
RETROSEQ_chr1:1181685-1181785,cPa450
RETROSEQ_chr1:1181825-1181925,cPa260
RETROSEQ_chr1:11896927-11897027,cPa529
RETROSEQ_chr1:1198022-1198122,cPa452
RETROSEQ_chr1:1200244-1200579,cPa260
RETROSEQ_chr1:1201094-1201194,cPa452
RETROSEQ_chr1:12010990-12011093,cPa224
RETROSEQ_chr1:12032987-12033128,cPa452
RETROSEQ_chr1:1212734-1212834,cPa443
RETROSEQ_chr1:1214902-1215002,HERVHcons
RETROSEQ_chr1:12187375-12187475,cPa247
RETROSEQ_chr1:1229120-1229220,HIV1_NC001802
RETROSEQ_chr1:12306621-12306721,cPa391
RETROSEQ_chr1:1232251-1232351,cPa308
RETROSEQ_chr1:12456029-12456141,cPa575
RETROSEQ_chr1:12479115-12479215,cPa452
RETROSEQ_chr1:12493757-12493877,cPa15
RETROSEQ_chr1:1250566-1250666,cPa260
RETROSEQ_chr1:1250841-1250941,cPa228
RETROSEQ_chr1:12520921-12521102,cPa333
RETROSEQ_chr1:12526839-12526943,cPa14
RETROSEQ_chr1:12550366-12550466,cPa452
RETROSEQ_chr1:12568194-12568323,cPa332
RETROSEQ_chr1:12577308-12577408,cPa14
RETROSEQ_chr1:12598492-12598592,cPa391
RETROSEQ_chr1:12612839-12613024,cPa15
RETROSEQ_chr1:12663505-12663605,cPa220
RETROSEQ_chr1:12712469-12712569,cPa264
RETROSEQ_chr1:12736295-12736395,cPa216
RETROSEQ_chr1:12736403-12736515,cPa150
RETROSEQ_chr1:12749128-12749228,cPa526
RETROSEQ_chr1:12772785-12772918,cPa109
RETROSEQ_chr1:12793213-12793313,cPa526
RETROSEQ_chr1:1279707-1279807,cPa194
RETROSEQ_chr1:1279825-1279939,cPa194
RETROSEQ_chr1:1279953-1280053,cPa194
RETROSEQ_chr1:1280066-1280166,cPa194
RETROSEQ_chr1:12807693-12807793,cPa363
RETROSEQ_chr1:12807864-12807964,cPa452
RETROSEQ_chr1:12827463-12827576,cPa391
RETROSEQ_chr1:12842567-12842669,cPa18
RETROSEQ_chr1:12850250-12850352,cPa131
RETROSEQ_chr1:1288349-1288554,cPa260
RETROSEQ_chr1:12897428-12897528,cPa363
RETROSEQ_chr1:12900344-12900659,cPa452
RETROSEQ_chr1:12901760-12902028,cPa14
RETROSEQ_chr1:12911472-12911572,cPa130
RETROSEQ_chr1:12940691-12940934,cPa51
RETROSEQ_chr1:12941847-12941968,cPa220
RETROSEQ_chr1:12956111-12956211,cPa14
RETROSEQ_chr1:12956216-12956356,cPa14
RETROSEQ_chr1:12961235-12961335,cPa199
RETROSEQ_chr1:12961355-12961455,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:13009303-13009403,cPa257
RETROSEQ_chr1:1302597-1302828,cPa260
RETROSEQ_chr1:1302849-1302949,cPa228
RETROSEQ_chr1:13037590-13037711,cPa333
RETROSEQ_chr1:13038127-13038246,cPa529
RETROSEQ_chr1:13065805-13065905,cPa452
RETROSEQ_chr1:13078696-13078796,cPa542
RETROSEQ_chr1:13080690-13080790,cPa241
RETROSEQ_chr1:1310451-1310551,cPa109|cPa526
RETROSEQ_chr1:1311101-1311201,HERVHcons
RETROSEQ_chr1:13114746-13114935,cPa452
RETROSEQ_chr1:1312158-1312258,cPa199
RETROSEQ_chr1:13132986-13133086,cPa142
RETROSEQ_chr1:1313887-1314082,cPa260
RETROSEQ_chr1:13149423-13149523,cPa452
RETROSEQ_chr1:13308367-13308468,cPa391
RETROSEQ_chr1:1333437-1333538,cPa248
RETROSEQ_chr1:13340120-13340220,cPa452
RETROSEQ_chr1:1336569-1337010,cPa260
RETROSEQ_chr1:1340637-1340737,cPa200
RETROSEQ_chr1:1340856-1340956,cPa583
RETROSEQ_chr1:13421347-13421659,cPa363
RETROSEQ_chr1:1342860-1342960,cPa333
RETROSEQ_chr1:1343354-1343677,cPa260
RETROSEQ_chr1:13445785-13445889,cPa140
RETROSEQ_chr1:136801-136932,HERVHcons
RETROSEQ_chr1:137017-137117,HERVHcons
RETROSEQ_chr1:1372804-1372904,cPa443
RETROSEQ_chr1:13768930-13769030,cPa363
RETROSEQ_chr1:1379133-1379263,HERVHcons|REV_NC006934
RETROSEQ_chr1:13796175-13796275,cPa199|cPa482
RETROSEQ_chr1:13808783-13808883,cPa228
RETROSEQ_chr1:13816673-13816773,cPa313
RETROSEQ_chr1:1383330-1383518,cPa308
RETROSEQ_chr1:13852160-13852274,cPa391
RETROSEQ_chr1:1386779-1386879,cPa140
RETROSEQ_chr1:1386913-1387013,cPa248
RETROSEQ_chr1:1388324-1388424,cPa228
RETROSEQ_chr1:1388515-1388693,cPa260
RETROSEQ_chr1:1391884-1392007,HERVHcons
RETROSEQ_chr1:13932758-13932858,cPa452
RETROSEQ_chr1:1395040-1395140,FrMuLV_NC001362
RETROSEQ_chr1:13985076-13985193,cPa15
RETROSEQ_chr1:1400378-1400917,cPa260
RETROSEQ_chr1:14036873-14036973,cPa327
RETROSEQ_chr1:14055837-14055937,cPa248
RETROSEQ_chr1:14055974-14056116,cPa248
RETROSEQ_chr1:14066008-14066109,cPa452
RETROSEQ_chr1:1406835-1407269,cPa260
RETROSEQ_chr1:14171551-14171736,cPa18
RETROSEQ_chr1:14176715-14176892,cPa140
RETROSEQ_chr1:14184544-14184834,cPa433
RETROSEQ_chr1:1419099-1419199,cPa248
RETROSEQ_chr1:14213410-14213510,cPa241
RETROSEQ_chr1:1422046-1422146,cPa228
RETROSEQ_chr1:1422181-1422327,cPa260
RETROSEQ_chr1:14223776-14223944,cPa452
RETROSEQ_chr1:14244487-14244587,cPa529
RETROSEQ_chr1:1425139-1425239,cPa228
RETROSEQ_chr1:1429054-1429463,cPa260
RETROSEQ_chr1:14348561-14348663,cPa446
RETROSEQ_chr1:14348673-14348821,cPa446
RETROSEQ_chr1:14361450-14361550,cPa332
RETROSEQ_chr1:14379803-14379907,cPa515
RETROSEQ_chr1:1438971-1439107,cPa260
RETROSEQ_chr1:1442356-1442456,cPa260
RETROSEQ_chr1:1442497-1442977,cPa260
RETROSEQ_chr1:14439558-14439658,cPa391
RETROSEQ_chr1:14439770-14439870,cPa391
RETROSEQ_chr1:1444501-1444601,cPa363
RETROSEQ_chr1:1448440-1448540,ALVJ_Z46390
RETROSEQ_chr1:1451820-1451990,cPa447
RETROSEQ_chr1:14546414-14546514,cPa327
RETROSEQ_chr1:1457539-1457699,cPa199
RETROSEQ_chr1:1457706-1457916,cPa199
RETROSEQ_chr1:14580564-14580664,cPa452
RETROSEQ_chr1:14581151-14581251,cPa452
RETROSEQ_chr1:1463899-1464055,cPa228
RETROSEQ_chr1:14643422-14643538,cPa363
RETROSEQ_chr1:14643554-14643654,cPa452
RETROSEQ_chr1:14644496-14644596,cPa363
RETROSEQ_chr1:14663039-14663139,cPa257
RETROSEQ_chr1:1478675-1478775,cPa260
RETROSEQ_chr1:1478806-1479041,cPa260
RETROSEQ_chr1:14819730-14819830,cPa452
RETROSEQ_chr1:1483443-1483550,cPa308
RETROSEQ_chr1:14850737-14850906,PERV_AJ293656
RETROSEQ_chr1:14851108-14851601,PERV_AJ293656
RETROSEQ_chr1:1499998-1500098,cPa140
RETROSEQ_chr1:1513310-1513562,cPa228
RETROSEQ_chr1:15166738-15166946,cPa127
RETROSEQ_chr1:15185842-15186113,cPa452
RETROSEQ_chr1:15229595-15229695,cPa101
RETROSEQ_chr1:15234965-15235152,cPa18
RETROSEQ_chr1:15247112-15247212,cPa157
RETROSEQ_chr1:15263511-15263611,cPa452
RETROSEQ_chr1:1529455-1529568,cPa228
RETROSEQ_chr1:15305669-15305808,cPa426
RETROSEQ_chr1:1535379-1535479,HIV1_NC001802
RETROSEQ_chr1:1537112-1537212,cPa15
RETROSEQ_chr1:1538131-1538320,cPa260
RETROSEQ_chr1:15490757-15490864,cPa163
RETROSEQ_chr1:15498112-15498212,cPa15
RETROSEQ_chr1:15548829-15548929,cPa140
RETROSEQ_chr1:15672801-15672924,cPa391
RETROSEQ_chr1:1571657-1571779,cPa357
RETROSEQ_chr1:1575315-1575415,cPa140
RETROSEQ_chr1:15797348-15797456,cPa563
RETROSEQ_chr1:1585571-1585750,cPa260
RETROSEQ_chr1:15856830-15856930,cPa391
RETROSEQ_chr1:1588107-1588207,cPa452
RETROSEQ_chr1:16032415-16032515,cPa452
RETROSEQ_chr1:16032574-16032674,cPa363
RETROSEQ_chr1:16072240-16072385,cPa248
RETROSEQ_chr1:1607991-1608091,cPa260
RETROSEQ_chr1:16128181-16128296,cPa248
RETROSEQ_chr1:1615002-1615102,STLV2_NC001815
RETROSEQ_chr1:1615201-1615301,cPa140
RETROSEQ_chr1:1629621-1629747,cPa228
RETROSEQ_chr1:1629806-1629920,cPa228
RETROSEQ_chr1:16322657-16322758,cPa391
RETROSEQ_chr1:1633268-1633368,cPa183
RETROSEQ_chr1:1648731-1648831,cPa472
RETROSEQ_chr1:16541482-16541582,cPa248
RETROSEQ_chr1:1661447-1661547,cPa228
RETROSEQ_chr1:16655578-16655678,cPa140
RETROSEQ_chr1:1666432-1666556,cPa15
RETROSEQ_chr1:16678412-16678512,cPa285
RETROSEQ_chr1:16691104-16691204,cPa140
RETROSEQ_chr1:16793033-16793142,WDSV_NC001867
RETROSEQ_chr1:1682985-1683103,cPa140
RETROSEQ_chr1:16901165-16901265,cPa402
RETROSEQ_chr1:16915722-16915987,cPa273
RETROSEQ_chr1:16945644-16945748,cPa16|cPa327|cPa363|cPa452|cPa71
RETROSEQ_chr1:16971965-16972065,cPa391
RETROSEQ_chr1:16992951-16993051,cPa163
RETROSEQ_chr1:1702021-1702141,HERVHcons
RETROSEQ_chr1:17100195-17100295,cPa194
RETROSEQ_chr1:17121600-17121700,cPa220
RETROSEQ_chr1:1712796-1713303,cPa260
RETROSEQ_chr1:1714397-1714497,cPa443
RETROSEQ_chr1:1716825-1716925,cPa502
RETROSEQ_chr1:17175173-17175358,cPa199
RETROSEQ_chr1:17187189-17187289,cPa140
RETROSEQ_chr1:17240803-17240903,cPa241
RETROSEQ_chr1:17247645-17247765,cPa452
RETROSEQ_chr1:17247971-17248071,cPa446
RETROSEQ_chr1:17277082-17277407,cPa452
RETROSEQ_chr1:17277468-17277568,cPa452
RETROSEQ_chr1:17309776-17309888,cPa101
RETROSEQ_chr1:17361074-17361174,cPa452
RETROSEQ_chr1:1737907-1738007,cPa443
RETROSEQ_chr1:1738014-1738159,cPa443
RETROSEQ_chr1:17391481-17391581,cPa583
RETROSEQ_chr1:1739981-1740221,cPa443
RETROSEQ_chr1:17401635-17401744,cPa363
RETROSEQ_chr1:17414325-17414425,cPa357
RETROSEQ_chr1:17416133-17416233,cPa446
RETROSEQ_chr1:17416421-17416536,cPa446
RETROSEQ_chr1:17458791-17458964,cPa402
RETROSEQ_chr1:17491301-17491401,cPa452
RETROSEQ_chr1:1751945-1752048,HIV1_NC001802
RETROSEQ_chr1:1758414-1758595,cPa302
RETROSEQ_chr1:1768014-1768123,cPa248
RETROSEQ_chr1:17728270-17728431,cPa452
RETROSEQ_chr1:17740991-17741091,cPa140
RETROSEQ_chr1:1779426-1779560,cPa443
RETROSEQ_chr1:1779591-1779725,cPa443
RETROSEQ_chr1:17816271-17816539,cPa452
RETROSEQ_chr1:178380-178673,cPa260
RETROSEQ_chr1:17858703-17858919,cPa452
RETROSEQ_chr1:1790836-1791167,cPa260
RETROSEQ_chr1:1793519-1793619,cPa199
RETROSEQ_chr1:18142725-18142825,cPa140
RETROSEQ_chr1:18179698-18179836,cPa363
RETROSEQ_chr1:1823221-1823321,cPa260
RETROSEQ_chr1:1824544-1824884,cPa260
RETROSEQ_chr1:1827030-1827130,cPa260
RETROSEQ_chr1:1827136-1827236,cPa260
RETROSEQ_chr1:1827257-1827423,cPa260
RETROSEQ_chr1:18277464-18277854,cPa452
RETROSEQ_chr1:18325622-18325722,cPa391
RETROSEQ_chr1:18346875-18346975,cPa452
RETROSEQ_chr1:18549056-18549156,cPa391
RETROSEQ_chr1:1854991-1855259,cPa228
RETROSEQ_chr1:1855290-1855430,cPa228
RETROSEQ_chr1:18620066-18620177,cPa521
RETROSEQ_chr1:18653765-18653872,cPa15
RETROSEQ_chr1:18689410-18689578,cPa452
RETROSEQ_chr1:1870965-1871070,cPa583
RETROSEQ_chr1:18786933-18787033,cPa327|cPa572
RETROSEQ_chr1:1881006-1881176,cPa200
RETROSEQ_chr1:1888024-1888124,VISNA_S55323
RETROSEQ_chr1:18933760-18933873,cPa199
RETROSEQ_chr1:18951799-18951899,cPa452
RETROSEQ_chr1:19193301-19193417,cPa199|cPa273
RETROSEQ_chr1:1922580-1922680,HERVHcons
RETROSEQ_chr1:19286019-19286119,cPa443
RETROSEQ_chr1:19293495-19293611,cPa248
RETROSEQ_chr1:19303834-19303934,cPa257
RETROSEQ_chr1:19311427-19311527,HERV_E_repbase_HERVE_LTR2
RETROSEQ_chr1:19379201-19379322,cPa11
RETROSEQ_chr1:19435216-19435329,cPa540
RETROSEQ_chr1:19556440-19556599,cPa101
RETROSEQ_chr1:19613095-19613319,cPa363
RETROSEQ_chr1:19613325-19613425,cPa363
RETROSEQ_chr1:19630608-19630708,cPa104
RETROSEQ_chr1:19700165-19700330,cPa332
RETROSEQ_chr1:19707215-19707315,cPa220
