locus,erv.assigned,erv.assigned.freq,n.erv.called,actual.stop,actual.start,all.hits.ervs,all.hits.counts,locus.width,mapped.width
chr1-104805322_104805424,cPa529,1,1,104805373,104805372,cPa529,2,102,1
chr1-104900979_104901117,cPa75,0.466666666666667,8,104901111,104900979,cPa260_cPa413_cPa62_cPa62-cPa293-hybrid_cPa62-cPa75-hybrid_cPa62-unknown_cPa75_cPa75-cPa260-hybrid,1_1_3_1_1_16_21_1,138,132
chr1-105289530_105289640,cPa62,1,1,105289614,105289576,cPa62,16,110,38
chr1-105295199_105295301,cPa62,0.96551724137931,2,105295301,105295249,cPa285_cPa62,1_28,102,52
chr1-105380458_105380567,cPa539,0.611111111111111,6,105380543,105380504,cPa119-unknown_cPa199-cPa539-hybrid_cPa199-unknown_cPa419_cPa539_cPa539-unknown,2_1_1_2_11_1,109,39
chr1-10544212_10544314,cPa47,0.376470588235294,8,10544314,10544226,cPa174_cPa254_cPa254-cPa174-hybrid_cPa404-cPa174-hybrid_cPa404-cPa425-hybrid_cPa425_cPa47_cPa47-cPa174-hybrid,2_20_3_2_1_22_32_3,102,88
chr1-105515681_105515783,cPa62,0.6,4,105515755,105515691,cPa285-cPa62-hybrid_cPa62_cPa75-cPa62-hybrid_HML2_Pheonix-cPa62-hybrid,2_9_3_1,102,64
chr1-105913236_105913338,cPa62,1,1,105913286,105913286,cPa62,1,102,0
chr1-106065243_106065345,cPa113,0.75,2,106065304,106065253,cPa113_cPa75-cPa67-hybrid,3_1,102,51
chr1-106083139_106083241,cPa62,0.938775510204082,2,106083198,106083149,cPa62_cPa62-unknown,46_3,102,49
chr1-106179791_106179893,cPa118_cPa15,0.5,2,106179841,106179841,cPa118_cPa15,1_1,102,0
chr1-106647162_106647264,cPa293,1,1,106647218,106647167,cPa293,7,102,51
chr1-106647293_106647395,cPa293-unknown,1,1,106647343,106647343,cPa293-unknown,1,102,0
chr1-106756194_106756296,HERV-W_repbase_HERV17_LTR17-cPa62-hybrid,1,1,106756244,106756244,HERV-W_repbase_HERV17_LTR17-cPa62-hybrid,1,102,0
chr1-106756353_106756458,cPa75,0.75,2,106756406,106756403,cPa75_HERV-W_repbase_HERV17_LTR17-cPa62-hybrid,3_1,105,3
chr1-106756742_106756844,cPa75,1,1,106756792,106756792,cPa75,1,102,0
chr1-106757404_106757506,cPa75,1,1,106757454,106757454,cPa75,1,102,0
chr1-107012529_107012631,cPa419,1,1,107012579,107012579,cPa419,1,102,0
chr1-107193069_107193193,HERV-Fb_repbase_HERVH48I_MER48,0.375,4,107193191,107193072,cPa260_HERV-Fb_repbase_HERVH48I_MER48_PERV_AJ293656_PERV_AJ293656-unknown,5_6_4_1,124,119
chr1-107303689_107303791,cPa62,1,1,107303739,107303739,cPa62,1,102,0
chr1-10737565_10737667,cPa255,0.4375,3,10737615,10737590,cPa131_cPa255_cPa478,4_7_5,102,25
chr1-107617381_107617522,cPa285,0.444444444444444,4,107617470,107617421,cPa285_cPa293_cPa62_cPa62-unknown,4_1_3_1,141,49
chr1-107807389_107807587,cPa62,0.5,6,107807535,107807403,cPa285_cPa285-cPa62-hybrid_cPa293_cPa293-cPa62-hybrid_cPa293-unknown_cPa62,10_2_12_2_2_28,198,132
chr1-107838874_107838976,HERV-W_repbase_HERV17_LTR17,1,1,107838928,107838883,HERV-W_repbase_HERV17_LTR17,15,102,45
chr1-107839091_107839252,HERV-W_repbase_HERV17_LTR17,0.96551724137931,3,107839251,107839121,cPa75-HERV-W_repbase_HERV17_LTR17-hybrid_HERV-W_repbase_HERV17_LTR17_HERV-W_repbase_HERV17_LTR17-cPa75-hybrid,1_56_1,161,130
chr1-107966538_107966677,cPa539,0.891891891891892,4,107966659,107966557,cPa492_cPa539_cPa539-cPa492-hybrid_WDSV_NC001867,2_33_1_1,139,102
chr1-108229480_108229603,cPa62,0.684210526315789,4,108229557,108229501,cPa285_cPa293_cPa62_cPa62-cPa285-hybrid,4_1_13_1,123,56
chr1-108323182_108323284,cPa285_cPa62,0.5,2,108323232,108323232,cPa285_cPa62,1_1,102,0
chr1-108439029_108439131,cPa572-cPa62-hybrid_cPa75,0.5,2,108439079,108439039,cPa572-cPa62-hybrid_cPa75,1_1,102,40
chr1-108439304_108439406,cPa75_HML5_repbase_HERVK22I_LTR22-cPa62-hybrid,0.5,2,108439354,108439340,cPa75_HML5_repbase_HERVK22I_LTR22-cPa62-hybrid,1_1,102,14
chr1-108611049_108611750,cPa62,0.345794392523364,11,108611698,108611099,cPa62_cPa62-cPa285-hybrid_cPa62-cPa402-hybrid_cPa62-cPa71-hybrid_cPa62-cPa75-hybrid_cPa62-unknown_cPa71_cPa71-cPa75-hybrid_cPa75_cPa75-cPa402-hybrid_cPa75-cPa71-hybrid,74_2_1_34_10_6_31_2_52_1_1,701,599
chr1-108869200_108869302,cPa62,1,1,108869255,108869233,cPa62,21,102,22
chr1-108952258_108952363,cPa62,1,1,108952317,108952290,cPa62,14,105,27
chr1-10908949_10909051,cPa363,0.391304347826087,7,10909043,10908962,cPa363_cPa456_cPa456-cPa117-hybrid_cPa456-cPa452-hybrid_cPa456-unknown_cPa587-cPa117-hybrid_cPa587-cPa452-hybrid,9_7_1_2_1_2_1,102,81
chr1-109252617_109252874,cPa583,0.283333333333333,23,109252872,109252629,cPa118_cPa118-cPa358-hybrid_cPa118-cPa410-hybrid_cPa15_cPa223-cPa118-hybrid_cPa223-cPa15-hybrid_cPa223-cPa268-hybrid_cPa223-cPa410-hybrid_cPa223-unknown_cPa251_cPa251-cPa298-hybrid_cPa251-cPa410-hybrid_cPa268-cPa15-hybrid_cPa358_cPa358-cPa118-hybrid_cPa358-cPa410-hybrid_cPa410_cPa583_cPa583-cPa15-hybrid_cPa583-cPa268-hybrid_cPa583-cPa358-hybrid_cPa583-cPa410-hybrid_cPa75-cPa410-hybrid,3_1_1_4_2_1_1_1_1_1_1_1_1_12_1_1_1_17_4_1_2_1_1,257,243
chr1-109252912_109253014,cPa15,0.416666666666667,7,109253014,109252911,cPa118_cPa15_cPa358_cPa583_cPa583-cPa118-hybrid_cPa583-cPa15-hybrid_HERV-Fb_repbase_HERVH48I_MER48,2_5_1_1_1_1_1,102,103
chr1-109538011_109538113,cPa75,0.413793103448276,5,109538109,109538010,cPa62_cPa62-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa62-unknown_cPa75,2_7_2_6_12,102,99
chr1-109580923_109581025,cPa75,1,1,109580973,109580973,cPa75,1,102,0
chr1-109596224_109596326,cPa363_cPa363-cPa446-hybrid,0.5,2,109596279,109596274,cPa363_cPa363-cPa446-hybrid,1_1,102,5
chr1-109612671_109612775,cPa450,0.497109826589595,18,109612774,109612675,cPa199_cPa199-cPa227-hybrid_cPa199-cPa273-hybrid_cPa199-cPa450-hybrid_cPa199-cPa542-hybrid_cPa223-cPa199-hybrid_cPa223-cPa273-hybrid_cPa223-cPa542-hybrid_cPa223-cPa553-hybrid_cPa227_cPa227-cPa273-hybrid_cPa227-cPa542-hybrid_cPa345-cPa450-hybrid_cPa450_cPa450-cPa542-hybrid_cPa482-cPa273-hybrid_cPa482-cPa542-hybrid_cPa553,21_1_4_1_2_3_7_16_2_3_1_1_1_86_1_2_2_19,104,99
chr1-10963977_10964079,cPa62,1,1,10964073,10963994,cPa62,22,102,79
chr1-109787271_109787424,cPa492,1,1,109787422,109787321,cPa492,21,153,101
chr1-109798987_109799089,cPa251,1,1,109799037,109799037,cPa251,1,102,0
chr1-109985418_109985520,cPa62-unknown,0.555555555555556,3,109985476,109985444,cPa62-cPa75-hybrid_cPa62-unknown_cPa75,1_5_3,102,32
chr1-110025348_110025450,PERVA_AY099323,0.555555555555556,4,110025447,110025369,cPa228-unknown_HERV30_repbase_HERV30I_LTR30_PERVA_AY099323_PERVA_AY099323-unknown,2_1_5_1,102,78
chr1-1102575_1102862,cPa194,0.516129032258065,5,1102810,1102625,cPa194_cPa194-cPa345-hybrid_cPa194-cPa67-hybrid_cPa67_cPa67-cPa345-hybrid,16_2_2_10_1,287,185
chr1-110291100_110291202,cPa62,1,1,110291190,110291135,cPa62,32,102,55
chr1-1102913_1103015,cPa194,0.7,2,1102996,1102916,cPa194_cPa67,7_3,102,80
chr1-1103077_1103261,cPa67,0.428571428571429,3,1103257,1103093,cPa194_cPa194-cPa67-hybrid_cPa67,2_2_3,184,164
chr1-110384282_110384384,cPa75,0.375,5,110384351,110384282,cPa62_cPa75_cPa75-cPa62-hybrid_cPa75-unknown_KWERV_GQ222416-cPa62-hybrid,2_3_1_1_1,102,69
chr1-110426435_110426537,cPa62,1,1,110426496,110426485,cPa62,2,102,11
chr1-110483506_110483613,cPa363_cPa452-unknown_cPa456,0.333333333333333,3,110483561,110483556,cPa363_cPa452-unknown_cPa456,1_1_1,107,5
chr1-110509083_110509185,cPa109,1,1,110509133,110509133,cPa109,1,102,0
chr1-110582987_110583089,cPa450,0.375,4,110583037,110583024,cPa227_cPa273-cPa199-hybrid_cPa450_cPa553,2_1_3_2,102,13
chr1-110596183_110596326,cPa75,1,1,110596274,110596233,cPa75,3,143,41
chr1-110596418_110596520,cPa75,1,1,110596468,110596468,cPa75,1,102,0
chr1-110622220_110622326,cPa62,1,1,110622300,110622266,cPa62,10,106,34
chr1-11064638_11064740,cPa333,0.631578947368421,3,11064730,11064682,cPa323_cPa333_cPa371,2_36_19,102,48
chr1-110656885_110657076,cPa62,0.4375,5,110657036,110656923,cPa62_cPa62-cPa200-hybrid_cPa62-cPa482-hybrid_cPa62-unknown_cPa75-unknown,7_1_2_5_1,191,113
chr1-110657192_110657294,cPa62-unknown,0.4,4,110657291,110657241,cPa482_cPa62-cPa482-hybrid_cPa62-unknown_cPa75-unknown,1_1_2_1,102,50
chr1-110742724_110742826,cPa62,1,1,110742774,110742730,cPa62,3,102,44
chr1-110936970_110937096,cPa75,0.551724137931034,5,110937087,110937008,cPa75_HERV-F_repbase_HERVFH19I_LTR19A-cPa75-hybrid_HERV-W_repbase_HERV17_LTR17_HERV-W_repbase_HERV17_LTR17-cPa194-hybrid_HERV-W_repbase_HERV17_LTR17-cPa75-hybrid,16_1_10_1_1,126,79
chr1-110977417_110977547,cPa223,0.363636363636364,10,110977543,110977421,cPa176_cPa176-cPa446-hybrid_cPa223_cPa223-cPa363-hybrid_cPa363_cPa379_cPa446_cPa452_cPa452-cPa183-hybrid_cPa452-cPa363-hybrid,6_1_20_2_8_5_5_6_1_1,130,122
chr1-111018688_111018790,cPa62,0.875,2,111018777,111018734,cPa254_cPa62,5_35,102,43
chr1-111019515_111019617,cPa62,0.92,3,111019584,111019515,cPa254_cPa419_cPa62,1_1_23,102,69
chr1-111258285_111258438,cPa118-cPa15-hybrid_cPa125-cPa15-hybrid_cPa443-cPa15-hybrid,0.333333333333333,3,111258386,111258335,cPa118-cPa15-hybrid_cPa125-cPa15-hybrid_cPa443-cPa15-hybrid,1_1_1,153,51
chr1-111302322_111302424,cPa363_cPa456,0.4,3,111302372,111302370,cPa117-unknown_cPa363_cPa456,1_2_2,102,2
chr1-111402082_111402184,cPa223,1,1,111402143,111402122,cPa223,8,102,21
chr1-111525510_111525612,cPa62,0.923076923076923,2,111525562,111525559,cPa62_WDSV_NC001867-cPa62-hybrid,12_1,102,3
chr1-111560273_111560375,cPa345,1,1,111560343,111560311,cPa345,4,102,32
chr1-111624858_111624960,cPa254-unknown_cPa62,0.5,2,111624928,111624908,cPa254-unknown_cPa62,2_2,102,20
chr1-111720240_111720596,HERV-W_repbase_HERV17_LTR17,0.722222222222222,6,111720585,111720287,cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa62-unknown_cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid_HERV-W_repbase_HERV17_LTR17_KoRV_AF151794,4_3_1_1_26_1,356,298
chr1-111725361_111725463,cPa529,0.571428571428571,2,111725411,111725369,cPa247_cPa529,3_4,102,42
chr1-111765102_111765204,cPa456,0.584,9,111765158,111765113,cPa363_cPa363-cPa117-hybrid_cPa363-cPa452-hybrid_cPa456_cPa456-cPa117-hybrid_cPa456-cPa363-hybrid_cPa587-cPa117-hybrid_cPa587-cPa363-hybrid_cPa587-cPa452-hybrid,28_2_4_73_2_1_6_2_7,102,45
chr1-112039914_112040016,cPa15,0.875,2,112039973,112039951,cPa118-cPa268-hybrid_cPa15,1_7,102,22
chr1-112144959_112145061,cPa15,0.461538461538462,5,112145009,112144964,cPa118_cPa15_cPa248-cPa118-hybrid_cPa248-unknown_cPa443,9_12_2_1_2,102,45
chr1-112189675_112189820,cPa205_cPa61,0.5,2,112189768,112189725,cPa205_cPa61,1_1,145,43
chr1-112249494_112249620,cPa62,0.933333333333333,3,112249618,112249495,cPa254-cPa62-hybrid_cPa62_cPa62-unknown,1_28_1,126,123
chr1-112444733_112444835,cPa75,1,1,112444784,112444776,cPa75,7,102,8
chr1-112555647_112555749,cPa392_cPa61-unknown,0.5,2,112555697,112555687,cPa392_cPa61-unknown,1_1,102,10
chr1-112652887_112652989,cPa482,1,1,112652957,112652937,cPa482,2,102,20
chr1-1127018_1127120,cPa199-cPa75-hybrid,1,1,1127068,1127068,cPa199-cPa75-hybrid,1,102,0
chr1-112785579_112785791,cPa465-cPa308-hybrid,0.444444444444444,6,112785752,112785605,cPa205-cPa308-hybrid_cPa333-unknown_cPa465-cPa308-hybrid_cPa465-unknown_cPa61-cPa308-hybrid_FeFV_NC001871-cPa308-hybrid,1_1_4_1_1_1,212,147
chr1-112786887_112786990,cPa371-cPa308-hybrid_cPa465-cPa308-hybrid,0.5,2,112786938,112786937,cPa371-cPa308-hybrid_cPa465-cPa308-hybrid,1_1,103,1
chr1-112978772_112978874,cPa47,0.3,7,112978847,112978790,cPa254_cPa404_cPa425_cPa425-cPa174-hybrid_cPa425-cPa254-hybrid_cPa47_cPa47-cPa174-hybrid,2_1_1_1_1_3_1,102,57
chr1-113058908_113059010,cPa293-cPa339-hybrid_cPa339_cPa62,0.333333333333333,3,113058962,113058934,cPa293-cPa339-hybrid_cPa339_cPa62,1_1_1,102,28
chr1-113059066_113059179,cPa62,0.846153846153846,4,113059128,113059108,cPa285-cPa62-hybrid_cPa293_cPa62_cPa62-unknown,1_1_22_2,113,20
chr1-113070162_113070264,cPa419,1,1,113070212,113070212,cPa419,1,102,0
chr1-113097780_113097882,cPa16,0.407407407407407,8,113097859,113097791,cPa16_cPa308-cPa379-hybrid_cPa363_cPa363-cPa71-hybrid_cPa363-unknown_cPa379_cPa71_cPa71-unknown,11_1_1_1_1_6_5_1,102,68
chr1-113158008_113158246,cPa75-unknown,0.736842105263158,3,113158194,113158046,cPa75_cPa75-cPa285-hybrid_cPa75-unknown,3_2_14,238,148
chr1-113203057_113203165,cPa492,0.857142857142857,2,113203160,113203107,cPa472_cPa492,1_6,108,53
chr1-113203181_113203283,cPa492,0.967741935483871,2,113203275,113203188,cPa492_cPa492-unknown,30_1,102,87
chr1-11330265_11330367,GaLV_M26927-cPa62-hybrid,1,1,11330315,11330315,GaLV_M26927-cPa62-hybrid,1,102,0
chr1-113409331_113409433,cPa505-cPa75-hybrid,0.333333333333333,6,113409399,113409330,cPa425_cPa425-cPa75-hybrid_cPa425-unknown_cPa505-cPa75-hybrid_cPa566_cPa566-unknown,2_1_1_3_1_1,102,69
chr1-113411865_113411967,cPa482,1,1,113411944,113411915,cPa482,8,102,29
chr1-113428735_113428837,cPa62-unknown,0.363636363636364,4,113428796,113428736,cPa62_cPa62-cPa75-hybrid_cPa62-unknown_cPa75,3_4_8_7,102,60
chr1-113483546_113483648,cPa15,0.666666666666667,2,113483596,113483589,cPa15_cPa268,2_1,102,7
chr1-113532750_113533024,cPa75,1,1,113532972,113532795,cPa75,16,274,177
chr1-113613370_113613512,cPa75,1,1,113613460,113613420,cPa75,10,142,40
chr1-113613611_113613713,cPa75,1,1,113613661,113613661,cPa75,1,102,0
chr1-113684951_113685053,cPa75,0.5,4,113685043,113684956,cPa62_cPa75_cPa75-cPa62-hybrid_cPa75-unknown,3_6_2_1,102,87
chr1-113685240_113685342,cPa62,0.5,4,113685326,113685246,cPa62_cPa75_cPa75-cPa62-hybrid_PERVC_HM159246-unknown,3_1_1_1,102,80
chr1-113871304_113871406,HERV-W_repbase_HERV17_LTR17,0.666666666666667,2,113871387,113871307,cPa62-unknown_HERV-W_repbase_HERV17_LTR17,1_2,102,80
chr1-113934215_113934317,cPa419-GaLV_M26927-hybrid,1,1,113934265,113934265,cPa419-GaLV_M26927-hybrid,1,102,0
chr1-113957484_113957586,cPa323-cPa512-hybrid,1,1,113957534,113957534,cPa323-cPa512-hybrid,1,102,0
chr1-1143737_1143839,cPa75,1,1,1143787,1143775,cPa75,2,102,12
chr1-1143968_1144077,cPa75,0.875,2,1144026,1143993,cPa75_cPa75-unknown,14_2,109,33
chr1-1144630_1144847,cPa75,0.823529411764706,2,1144842,1144680,cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid,14_3,217,162
chr1-1144856_1144958,cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid,0.333333333333333,3,1144909,1144877,cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid,1_1_1,102,32
chr1-1145229_1145374,cPa75,0.571428571428571,5,1145322,1145259,cPa62_cPa62-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75_HERV-W_repbase_HERV17_LTR17,1_1_6_12_1,145,63
chr1-1145507_1145609,cPa75,0.4,4,1145557,1145536,cPa62-cPa71-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa75_HERV-W_repbase_HERV17_LTR17,1_1_2_1,102,21
chr1-11493755_11493876,cPa15,0.390243902439024,28,11493876,11493758,cPa118_cPa118-unknown_cPa119_cPa125_cPa125-cPa248-hybrid_cPa140_cPa140-cPa118-hybrid_cPa140-unknown_cPa15_cPa248_cPa248-cPa118-hybrid_cPa248-unknown_cPa264_cPa264-cPa118-hybrid_cPa264-cPa119-hybrid_cPa264-cPa15-hybrid_cPa264-cPa268-hybrid_cPa264-cPa443-hybrid_cPa264-unknown_cPa268_cPa268-cPa118-hybrid_cPa268-cPa15-hybrid_cPa268-unknown_cPa443_cPa443-cPa118-hybrid_cPa443-cPa119-hybrid_cPa443-cPa15-hybrid_cPa443-cPa268-hybrid,12_2_3_1_1_7_2_3_48_1_2_1_1_1_1_1_1_1_5_9_3_1_7_5_1_1_1_1,121,118
chr1-11494163_11494265,cPa15,0.428571428571429,5,11494242,11494213,cPa118-unknown_cPa140_cPa140-unknown_cPa15_cPa268,1_1_1_6_5,102,29
chr1-1151384_1151486,cPa443,1,1,1151434,1151434,cPa443,1,102,0
chr1-11523481_11523583,HERV-W_repbase_HERV17_LTR17,0.642857142857143,4,11523579,11523500,HERV-W_repbase_HERV17_LTR17_HERV-XA34_repbase_HERVFH21I_LTR21A_HERV-XA34_repbase_HERVFH21I_LTR21A-HERV-W_repbase_HERV17_LTR17-hybrid_HERV-XA34_repbase_HERVFH21I_LTR21A-unknown,9_2_2_1,102,79
chr1-1164623_1164725,cPa400_FrMuLV_NC001362,0.5,2,1164673,1164625,cPa400_FrMuLV_NC001362,1_1,102,48
chr1-11696427_11696529,cPa392,1,1,11696490,11696477,cPa392,2,102,13
chr1-11700247_11700471,cPa392,0.977777777777778,2,11700430,11700289,cPa152-cPa392-hybrid_cPa392,1_44,224,141
chr1-11701016_11701118,cPa392,1,1,11701066,11701066,cPa392,1,102,0
chr1-11701135_11701237,cPa392,1,1,11701230,11701185,cPa392,3,102,45
chr1-11701293_11701399,cPa392,1,1,11701347,11701343,cPa392,2,106,4
chr1-11702054_11702158,cPa392,1,1,11702106,11702083,cPa392,8,104,23
chr1-11702983_11703130,cPa392,0.666666666666667,2,11703078,11702993,cPa392_cPa392-cPa552-hybrid,2_1,147,85
chr1-11703484_11703586,cPa392,1,1,11703574,11703534,cPa392,27,102,40
chr1-11703635_11703737,cPa392,1,1,11703685,11703685,cPa392,1,102,0
chr1-11703979_11704081,cPa392,1,1,11704029,11704029,cPa392,4,102,0
chr1-11899101_11899203,cPa539,1,1,11899151,11899146,cPa539,3,102,5
chr1-11903116_11903218,cPa62,1,1,11903166,11903166,cPa62,1,102,0
chr1-11992788_11992890,cPa16,0.333333333333333,6,11992889,11992797,cPa16_cPa379_cPa419_cPa505_cPa62-cPa16-hybrid_cPa71,3_2_1_1_1_1,102,92
chr1-1201022_1201153,cPa260,0.847457627118644,4,1201144,1201033,cPa106_cPa260_cPa452-cPa106-hybrid_cPa539-cPa106-hybrid,7_50_1_1,131,111
chr1-12032987_12033292,cPa363,0.857142857142857,2,12033240,12033037,cPa363_cPa75-cPa363-hybrid,6_1,305,203
chr1-12141221_12141335,cPa47,0.266666666666667,7,12141283,12141241,cPa174_cPa174-cPa404-hybrid_cPa254_cPa254-cPa404-hybrid_cPa425_cPa425-cPa404-hybrid_cPa47,1_3_2_2_1_2_4,114,42
chr1-12152918_12153113,cPa345,1,1,12153067,12152920,cPa345,6,195,147
chr1-12321754_12321893,cPa75,0.591836734693878,13,12321889,12321778,cPa260_cPa260-cPa293-hybrid_cPa260-cPa62-hybrid_cPa293_cPa62_cPa71-cPa62-hybrid_cPa71-cPa75-hybrid_cPa71-unknown_cPa75_cPa75-unknown_HERV-W_repbase_HERV17_LTR17_HML1b_repbase_HERV-K14I_LTR14A-cPa62-hybrid_KoRV_AF151794,1_1_1_1_4_3_1_1_29_3_2_1_1,139,111
chr1-12325749_12325863,cPa62,0.96969696969697,2,12325856,12325777,cPa62_cPa62-unknown,32_1,114,79
chr1-12435224_12435329,cPa254_cPa47,0.266666666666667,8,12435311,12435231,cPa254_cPa254-cPa174-hybrid_cPa404-cPa392-hybrid_cPa425_cPa47_cPa47-cPa174-hybrid_cPa47-cPa254-hybrid_cPa62-cPa392-hybrid,8_1_1_7_8_3_1_1,105,80
chr1-12520921_12521023,cPa323-unknown,1,1,12520990,12520971,cPa323-unknown,2,102,19
chr1-126055_126157,cPa75,1,1,126119,126063,cPa75,4,102,56
chr1-126237_126435,cPa75,1,1,126383,126287,cPa75,4,198,96
chr1-126781_126886,cPa75,1,1,126834,126831,cPa75,2,105,3
chr1-126888_126990,cPa75,1,1,126938,126938,cPa75,1,102,0
chr1-127091_127193,cPa75,1,1,127141,127141,cPa75,1,102,0
chr1-127302_127588,cPa75,1,1,127536,127350,cPa75,17,286,186
chr1-12736415_12736517,cPa150-cPa216-hybrid_cPa302-cPa255-hybrid,0.5,2,12736465,12736465,cPa150-cPa216-hybrid_cPa302-cPa255-hybrid,1_1,102,0
chr1-12757893_12758083,cPa75,0.806451612903226,3,12758046,12757943,cPa293-cPa75-hybrid_cPa75_cPa75-cPa62-hybrid,1_25_5,190,103
chr1-12772859_12772975,cPa113,0.5,3,12772923,12772867,cPa113_cPa113-cPa67-hybrid_HTLV1_NC001436,2_1_1,116,56
chr1-12790998_12791100,cPa47,0.35,8,12791060,12791012,cPa174_cPa254_cPa254-cPa174-hybrid_cPa392-cPa254-hybrid_cPa392-cPa425-hybrid_cPa404-cPa174-hybrid_cPa425_cPa47,3_4_1_1_1_1_2_7,102,48
chr1-1279545_1279647,cPa67,1,1,1279595,1279595,cPa67,1,102,0
chr1-1279839_1279941,cPa194,0.666666666666667,2,1279904,1279877,cPa194_cPa67,2_1,102,27
chr1-1279951_1280053,cPa194,1,1,1280001,1280001,cPa194,1,102,0
chr1-12842567_12842669,cPa104-cPa18-hybrid_cPa4_cPa541,0.333333333333333,3,12842617,12842617,cPa104-cPa18-hybrid_cPa4_cPa541,1_1_1,102,0
